Num_nodos;Num_procesos;Tipo_proceso;PID;Tiempo_inicio;Tiempo_fin;Diferencia
10;4;CONSULTA;-523270592;18:00:24.062479;18:00:24.062640;161
10;4;PAGO;-556841408;18:00:24.062571;18:00:24.062661;90
10;4;PAGO;-531663296;18:00:24.062501;18:00:24.062689;188
10;4;RESERVA/ANULACION;-573626816;18:00:24.062615;18:00:24.062692;77
10;4;RESERVA/ANULACION;-548448704;18:00:24.062549;18:00:24.062710;161
10;4;ANULACION;-590412224;18:00:24.062661;18:00:24.062712;51
10;4;PAGO;-540056000;18:00:24.062524;18:00:24.062729;205
10;4;RESERVA/ANULACION;-565234112;18:00:24.062591;18:00:24.062814;223
10;4;CONSULTA;-582019520;18:00:24.062636;18:00:24.062832;196
10;4;ANULACION;-671091136;18:00:24.063122;18:00:24.063333;211
10;8;PAGO;-968006080;18:01:31.472529;18:01:31.472718;189
10;8;RESERVA/ANULACION;-1009969600;18:01:31.472638;18:01:31.472767;129
10;8;ANULACION;-1026755008;18:01:31.472682;18:01:31.473020;338
10;8;CONSULTA;-959613376;18:01:31.472507;18:01:31.473056;549
10;8;CONSULTA;-1018362304;18:01:31.472661;18:01:31.473111;450
10;8;RESERVA/ANULACION;-1001576896;18:01:31.472616;18:01:31.473119;503
10;8;RESERVA/ANULACION;-984791488;18:01:31.472574;18:01:31.473145;571
